Desc,SecMin,SecMax,Same
this minute,-1,60,1
this hour,60,3600,1
today,3600,86400,1
this week,86400,216000,1
this month,216000,5184000,1
this year,5184000,36288000,1
unknown range date,36288000,99999999999,1
last minute,-1,60,0
last hour,60,3600,0
last day,3600,86400,0
last week,86400,216000,0
last month,216000,5184000,0
last year,5184000,36288000,0
unknown range date,36288000,99999999999,0
that minute,-1,60,2
that hour,60,3600,2
that day,3600,86400,2
that week,86400,216000,2
that month,216000,5184000,2
that year,5184000,36288000,2
