DateTime,Param1,Param2,Param3
01/01/2019 00:00,0.13,15,High
01/02/2019 00:00,0.11,10,Low
01/03/2019 00:00,0.1,8,Medium
01/04/2019 00:00,0.1,10,Medium
01/05/2019 00:00,0.12,10,Medium
01/06/2019 00:00,0.1,18,Very Low
01/07/2019 00:00,0.13,31,Low
01/08/2019 00:00,0.12,24,High
01/09/2019 00:00,0.15,27,Medium
01/10/2019 00:00,0.16,26,High
01/11/2019 00:00,0.16,24,Very Low
01/12/2019 00:00,0.18,27,Very High
01/13/2019 00:00,0.17,21,Very High
01/14/2019 00:00,0.25,35,Low
01/15/2019 00:00,0.14,14,Medium
01/16/2019 00:00,0.14,14,Medium
01/17/2019 00:00,0.15,15,Medium
01/18/2019 00:00,0.14,16,Very Low
01/19/2019 00:00,0.17,23,Low
01/20/2019 00:00,0.19,30,High
